Development_Name,HUD_Number,Tenant_Data_System,Consolidated_TDS_Number,Electronic_Data_Processing,Operating_EDP_Number,HUD_Number_2,Funding_Source,Conventional_Method,Building_Type,Number_of_Section_8_Transition_Apartments,Number_of_Current_Apartments,Total_Number_of_Apartments,Number_of_Rental_Rooms,Average_Number_of_Rental_Rooms,Population_Section_8_Transition,Total_Population,Number_of_Residential_Buildings,Number_of_Non_Residential_Buildings,Number_of_Stairhalls,Number_of_Stories,Total_Area_Square_Ft,Acres,Net_Area_Square_Ft,Excluding_Park_Acres,Building_Coverage_Square_Ft,Cubic_Space,Percentage_of_Building_Coverage,Density,Development_Cost,Per_Rental_Room,Average_Monthly_Gross_Rent,Address_Line1,Address_Line2,Address_Line3,Address_Line4,Borough,Community_District,US_Congressional_District,NY_State_Senate_District,NY_State_Assembly_District,NY_City_Council_District,Completion_Date,Federalized_Development,Senior_Development,Is_Electricity_Paid_by_Residents,Is_Private_Management
QUEENSBRIDGE SOUTH,NY005000050,5,5,843,843,NY005002,FEDERAL,CONVENTIONAL,New Construction,,1604,1604,6630,4.13,,3394,13,2,50,6,1268298,29.12,820525,18.84,198609,11742973,15.66,116.55,7054601,1057,452.75,41ST AVE,VERNON BLVD,41ST RD,21ST ST,QUEENS,1,12,12,37,26,1940-03-15,,,,
RALPH AVENUE REHAB,NY005011670,352,167,771,763,NY005290,FEDERAL,TURNKEY,Rehabilitation,,118,118,529,4.48,,288,5,,5,4,70486,1.62,70486,1.62,27982,3052668,39.7,177.78,6714551,12693,528.25,EAST NEW YORK AVE,RALPH AVE,SUTTER AVE,E 98TH ST,BROOKLYN,16,9,20,55,41,1986-12-23,,,True,
RANDALL AVENUE-BALCOM AVENUE,NY005010630,245,63,364,218,NY005179,FEDERAL,TURNKEY,New Construction (ELD),,251,252,823.5,3.28,,274,3,,3,6,230000,5.28,230000,5.28,48175,1582410,20.95,51.89,9186414,10757,334.6,RANDALL AVE,BALCOM AVE,SCHLEY AVE,BUTTRICK AVE,BRONX,10,14,34,82,13,1978-10-31,,EXCLUSIVELY,,
RANDOLPH,NY005010300,278,30,503,503,NY005202,FEDERAL,CONVENTIONAL,Rehabilitation,,89,151,504.5,5.67,,188,14,,36,5,92500,2.12,90000,2.07,64800,3888000,70.05,88.68,14594887,7225,477.45,W 114TH ST,POWELL BLVD,DOUGLASS BLVD,,MANHATTAN,10,13,30,70,9,1977-04-30,,,True,
RANGEL,NY005000370,37,37,317,317,NY005114E,FEDERAL,CONVENTIONAL,New Construction,,983,984,4519.5,4.6,,2274,8,,9,14,475672,10.92,475672,10.92,71671,7911809,15.07,208.24,10613000,2373,520.22,HARLEM RIVER DR,POLO GROUNDS TOWERS,HARLEM RIVER DRIVEWAY,,MANHATTAN,10,13,30,71,9,1951-10-08,1968/08/29-FED TRAN,,,
RAVENSWOOD,NY005000480,48,48,369,369,NY005184,FEDERAL,CONVENTIONAL,New Construction,,2164,2166,9133,4.22,,4378,31,,45,6-7,1667814,38.29,1537135,35.29,346053,18107100,20.75,114.34,21403996,2342,519.24,12TH ST,34TH AVE,24TH ST,36TH AVE,QUEENS,1,12,12,37,26,1951-07-19,1971/06/29-FED TRAN,,,
RED HOOK I,,"004, 079",4,202,"202, 230",NY005001,FEDERAL,CONVENTIONAL,New Construction,,2534,2545,10605,4.19,,5398,27,3,89,2-6,1452438,33.34,1452438,33.34,326157,19292734,22.46,161.91,12102930,1137,465.42,DWIGHT ST,CLINTON ST,W 9TH ST,LORRAINE ST,BROOKLYN,6,7,25,51,38,1939-11-20,,,,
RED HOOK II,NY005000790,79,4,230,230,NY005029,FEDERAL,CONVENTIONAL,New Construction,,344,346,1618,4.7,,891,3,1,12,"3,14",245292,5.63,245292,5.63,35301,2896000,14.39,158.26,4517169,2776,544.54,RICHARDS ST,DWIGHT ST,WOLCOTT ST,RED HOOK PARK,BROOKLYN,6,7,25,51,38,1955-05-27,,,,
RED HOOK EAST,NY005000040,4,4,202,202,NY005001,FEDERAL,CONVENTIONAL,New Construction,,1407,1411,5902.5,4.2,,3002,16,3,51,2-6,856003,19.65,856003,19.65,192198,10734477,22.45,152.77,,,478.85,CLINTON ST,LORRAINE ST,COLUMBIA ST,WEST 9TH ST,BROOKLYN,6,7,25,51,38,,,,,
RED HOOK WEST,NY005000790,79,4,202,230,"NY005001, NY005029",FEDERAL,CONVENTIONAL,New Construction,,1471,1480,6320.5,4.3,,3287,14,1,50,3-6,841727,19.32,841727,19.32,169260,11454257,20.11,170.13,,,471.14,RICHARDS ST,LORRAINE ST,HICKS ST,WEST 9TH ST,BROOKLYN,6,7,25,51,38,,,,,
REDFERN,NY005000550,55,55,525,525,NY005216D,FEDERAL,CONVENTIONAL,New Construction,,597,604,2900.5,4.86,,1487,9,,16,3-7,817865,18.78,726038,16.67,95461,5602438,11.67,79.18,9334000,3186,447.34,REDFERN AVE,HASSOCK ST,BEACH CHANNEL DR,B 12TH ST,QUEENS,14,5,10,31,31,1959-08-28,1978/02/01-ATP 2,,,
REHAB PROGRAM (COLLEGE POINT),NY005011860,143,186,297,290,NY005076E,FEDERAL,CONVENTIONAL,Rehabilitation (ELD),,13,13,32.5,2.5,,13,1,,1,1,15000,0.34,15000,0.34,9320,115995,62.13,38.24,5909934,4821,262,125TH ST,22ND AVE,126TH ST,,QUEENS,7,14,11,27,19,1964-01-31,,EXCLUSIVELY,,
REHAB PROGRAM (DOUGLASS REHABS),NY005013170,515,359,255,255,"NY005076A, NY005076B, NY005076C",FEDERAL,CONVENTIONAL,Rehabilitation,,112,112,413,3.69,,177,4,,9,3-6,24462,0.56,24462,0.56,16326,1247684,66.74,316.07,,,477,W 104TH ST,BROADWAY,W 101ST ST,WEST END AVE,MANHATTAN,7,10,31,69,6,1964-01-31,,,,True
REHAB PROGRAM (TAFT REHABS),NY005013170,516,359,295,295,"NY005076G, NY005076I, NY005076J",FEDERAL,CONVENTIONAL,Rehabilitation,,156,156,602,3.86,,309,4,,4,7,27171,0.62,27171,0.62,22914,1809773,84.33,498.39,,,466,SAINT NICHOLAS AVE,W 119TH ST,LENOX AVE,W 112TH ST,MANHATTAN,10,13,30,70,9,1964-01-31,,,,True
REHAB PROGRAM (WISE REHAB),NY005011270,517,127,298,259,NY005076D,FEDERAL,CONVENTIONAL,Rehabilitation,,40,40,159,3.98,,69,1,,1,5,10071,0.23,10071,0.23,7367,472901,73.15,300,,,526.25,COLUMBUS AVE,W 94TH ST,CENTRAL PARK WEST,W 93RD ST,MANHATTAN,7,10,30,69,6,1964-01-31,,,,
REID APARTMENTS,NY005011670,167,167,283,283,NY005089,FEDERAL,CONVENTIONAL,New Construction (ELD),,227,230,681.5,3,,234,1,,1,20,68762,1.58,68762,1.58,13285,1397832,19.32,148.1,3910160,5227,296.64,TROY AVE,ALBANY AVE,EAST NEW YORK AVE,MAPLE ST,BROOKLYN,9,9,20,43,41,1969-11-30,,EXCLUSIVELY,,
RICHMOND TERRACE,NY005011170,117,117,241,241,NY005039,FEDERAL,CONVENTIONAL,New Construction,,488,489,2308,4.73,,1347,6,1,7,8,464184,10.66,440715,10.12,57285,4498022,12.34,126.36,9551430,4129,456.34,JERSEY ST,RICHMOND TERR,CRESCENT AVE,,STATEN ISLAND,1,11,23,61,49,1964-04-30,,,,
RIIS,NY005010180,18,18,210,210,NY005008,FEDERAL,CONVENTIONAL,New Construction,,1191,1191,5666.5,4.76,,2745,13,,18,7-13,510926,11.73,510926,11.73,103446,9657260,20.25,234.02,13510289,2411,501.98,FDR DR,AVENUE D,E 8TH ST,E 13TH ST,MANHATTAN,3,7,27,74,2,1949-01-17,,,,
RIIS II,NY005010180,19,18,372,210,NY005181D,FEDERAL,CONVENTIONAL,New Construction,,577,578,2720.5,4.71,,1296,6,,8,7-13,258562,5.94,258562,5.94,43916,4497120,16.98,218.18,6339520,2344,483.08,FDR DR,AVENUE D,EAST 6TH ST,EAST 8TH ST,MANHATTAN,3,7,27,74,2,1949-01-31,1972/06/29-FED TRAN,,,
ROBBINS PLAZA,NY005011390,218,139,329,253,NY005151,FEDERAL,CONVENTIONAL,New Construction (ELD),,150,150,470,3.13,,162,1,,1,20,12553,0.29,12553,0.29,6773,974866,53.96,558.62,4855905,9568,314.53,E 70TH ST,FIRST AVE,E 71ST ST,SECOND AVE,MANHATTAN,8,12,28,76,5,1975-02-28,,EXCLUSIVELY,,
ROBINSON,NY005012410,241,241,346,346,NY005173,FEDERAL,TURNKEY,New Construction,,188,189,834,4.44,,400,1,,2,8,64945,1.49,64945,1.49,22776,1802766,35.07,268.46,5990000,7068,475.64,E 128TH ST,E 129TH ST,LEXINGTON AVE,PARK AVE,MANHATTAN,11,13,30,68,9,1973-05-31,,,,
ROOSEVELT I,NY005011350,135,135,227,227,NY005054,FEDERAL,CONVENTIONAL,New Construction,,761,763,3575.5,4.7,,1880,6,,6,14-15-18,340000,7.81,340000,7.81,52168,6754320,15.34,240.72,14017427,3914,492.91,KOSCIUSKO ST,PULASKI ST,MARCUS GARVEY BLVD,STUYVESANT AVE,BROOKLYN,3,8,18,"54, 56",36,1964-09-30,,PARTIALLY,,
ROOSEVELT II,NY005011350,177,135,281,227,NY005083,FEDERAL,CONVENTIONAL,New Construction,,342,342,1496,4.37,,741,3,,3,14-15,146506,3.36,146506,3.36,24067,2801874,16.43,220.54,6450218,4312,478.16,LEWIS AVE,STUYVESANT AVE,HART ST,PULASKI ST,BROOKLYN,3,8,18,54,36,1966-12-31,,,,
RUTGERS,NY005020990,99,99,439,439,NY005382,MIXED FINANCE/LLC1,CONVENTIONAL,New Construction,92,721,721,3358.5,4.66,254,1592,5,,5,20,227341,5.22,227341,5.22,39355,5936573,17.31,304.98,14090000,4277,494.47,CHERRY ST,PIKE ST,MADISON ST,RUTGERS ST,MANHATTAN,3,7,26,65,1,1965-03-31,,,,
RUTLAND TOWERS,NY005011670,282,167,508,283,NY005211,FEDERAL,CONVENTIONAL,Rehabilitation,,61,61,221.5,3.63,,103,1,,1,6,19400,0.45,19400,0.45,13470,642963,69.43,228.89,1594181,6727,453.27,EAST NEW YORK AVE,E 91ST ST,E 92ND ST,RUTLAND RD,BROOKLYN,17,9,20,58,41,1977-05-17,,,,
SACK WERN,NY005012800,280,280,506,506,NY005205,FEDERAL,CONVENTIONAL,Rehabilitation,,410,413,1886,4.6,,878,7,1,8,6,226969,5.21,226969,5.21,63056,3782352,27.78,168.52,8699894,4528,492.46,BEACH AVE,TAYLOR AVE,NOBLE AVE,ROSEDALE AVE,BRONX,9,15,34,85,18,1977-05-12,,,,
SAINT MARY'S PARK,NY005020930,93,93,673,673,NY005384,MIXED FINANCE/LLC1,CONVENTIONAL,New Construction,184,1006,1007,4529,4.5,501,2329,6,,6,21,588851,13.52,545801,12.53,57006,8922933,9.68,172.26,16351823,3607,468.24,CAULDWELL AVE,E 156TH ST,WESTCHESTER AVE,TRINITY AVE,BRONX,1,15,"29, 32","79, 84",17,1959-04-30,,,,
SAINT NICHOLAS,NY005000380,38,38,211,211,NY005010,FEDERAL,CONVENTIONAL,New Construction,,1524,1526,7105,4.66,,3552,13,,14,14,680670,15.63,625559,14.36,105458,13112212,15.49,227.26,20560063,2891,487.6,W 127TH ST,DOUGLASS BLVD,POWELL BLVD,W 131ST ST,MANHATTAN,10,13,30,70,9,1954-09-30,,,,
SAMUEL (CITY),NY005023770,377,377,650,650,NY005375,MIXED FINANCE/LLC1,CONVENTIONAL,Rehabilitation,84,664,664,2824,4.25,199,1468,40,2,43,5-6,201872,4.63,201872,4.63,116528,7142241,57.72,317.06,,,598.92,LENOX AVE,W 139TH ST,W 147TH ST,AC POWELL BLVD,MANHATTAN,10,13,30,"70, 71",9,1994-08-31,,,True,
SAMUEL (MHOP) I,NY005013170,389,359,847,847,NY005335,MHOP,CONVENTIONAL,Rehabilitation,,27,53,121.5,4.5,,39,5,,5,5,13819,0.32,13819,0.32,11274,607774,81.58,121.88,4630200,19661,711,W 139TH ST,AC POWELL BLVD,W 141ST ST,LENOX AVE,MANHATTAN,10,13,30,70,9,1994-01-31,,,True,True
SAMUEL (MHOP) II,NY005013170,398,359,871,871,NY005345,MHOP,CONVENTIONAL,Rehabilitation,,5,10,24.5,4.9,,12,1,,1,5,3098,0.07,3098,0.07,2326,114675,75.08,171.43,967700,20160,1011,AC POWELL BLVD,W 139TH ST,LENOX AVE,,MANHATTAN,10,13,30,70,9,1993-07-31,,,True,True
SAMUEL (MHOP) III,NY005013170,399,359,483,483,NY005359,MHOP,CONVENTIONAL,Rehabilitation,,2,10,9,4.5,,4,1,,1,5,5396,0.12,5396,0.12,1599,114675,29.63,33.33,887005,20159,727,AC POWELL BLVD,W 142ND ST,LENOX AVE,,MANHATTAN,10,13,30,71,9,1995-06-30,,,True,True
SARATOGA VILLAGE,NY005011620,158,162,274,269,NY005067,FEDERAL,CONVENTIONAL,New Construction,,125,125,562.5,4.5,,322,1,,1,16,54935,1.26,54935,1.26,6911,1037975,12.58,255.56,2334676,4147,541.27,SARATOGA AVE,HANCOCK ST,HALSEY ST,,BROOKLYN,16,8,18,55,41,1966-12-31,,,,
SEDGWICK,NY005010450,45,45,368,368,NY005183B,FEDERAL,CONVENTIONAL,New Construction,,783,786,3316.5,4.24,,1510,7,,7,14-15,319008,7.32,319008,7.32,59598,6642484,18.68,206.28,8397841,2529,440.12,UNDERCLIFF AVE,W 174TH ST,UNIVERSITY AVE,,BRONX,5,13,29,77,16,1951-03-23,1972/06/29-FED TRAN,,,
SEWARD PARK EXTENSION,NY005011000,192,100,312,312,NY005100,FEDERAL,CONVENTIONAL,New Construction,,360,360,1591,4.42,,797,2,2,5,23,90637,2.08,90637,2.08,23922,3370430,26.39,383.17,11871465,7394,485.67,BROOME ST,NORFOLK ST,GRAND ST,ESSEX ST,MANHATTAN,3,12,26,65,1,1973-10-31,,,,
SHEEPSHEAD BAY,NY005010360,36,36,314,314,NY005114B,FEDERAL,CONVENTIONAL,New Construction,,1054,1056,4911,4.66,,2435,18,,36,6,1036600,23.8,953637,21.89,159727,10080777,15.41,102.31,12596000,2573,492.12,AVENUE X,BATCHELDER ST,AVENUE V,NOSTRAND AVE,BROOKLYN,15,9,19,41,46,1950-08-08,1968/08/29-FED TRAN,,,
SHELTON HOUSE,NY005010910,279,91,505,240,NY005203,FEDERAL,CONVENTIONAL,Rehabilitation (ELD),,153,155,475.5,3.11,,168,1,,1,12,21844,0.5,21844,0.5,14991,1287831,68.63,336,3615000,7061,342.17,162ND ST,89TH AVE,163RD ST,JAMAICA AVE,QUEENS,12,5,14,32,24,1978-10-31,,EXCLUSIVELY,True,
SMITH,NY005000270,27,27,531,531,NY005220B,FEDERAL,CONVENTIONAL,New Construction,,1934,1935,8987,4.65,,4238,12,,12,17,947493,21.75,806175,18.51,126462,15937490,13.35,194.85,29083000,3270,508.55,MADISON ST,CATHERINE ST,SOUTH ST,SAINT JAMES PL,MANHATTAN,3,7,26,65,1,1953-04-27,1978/07/01-ATP 3,,,
SOTOMAYOR HOUSES,NY005010670,67,67,222,222,NY005022,FEDERAL,CONVENTIONAL,New Construction,,1497,1497,6971.5,4.66,,3444,28,3,31,7,1340519,30.77,1340519,30.77,190435,12238008,14.21,111.93,17963549,2564,484.55,WATSON AVE,BRUCKNER BLVD,SOUNDVIEW AVE,LELAND AVE,BRONX,9,15,32,85,18,1955-02-28,,,,
SOUNDVIEW,NY005000710,71,71,537,537,NY005220H,FEDERAL,CONVENTIONAL,New Construction,,1258,1259,5863,4.66,,3008,13,2,28,7,1076761,24.72,1076761,24.72,164048,10481330,14.32,121.68,13445000,2308,453.29,ROSEDALE AVE,LACOMBE AVE,BRONX RIVER AVE,SOUNDVIEW PK,BRONX,9,15,32,85,18,1954-10-29,1978/07/01-ATP 3,,,
SOUTH BEACH,NY005010350,35,35,315,315,NY005114C,FEDERAL,CONVENTIONAL,New Construction,,421,422,1936.5,4.6,,932,8,,15,6,708283,16.26,638737,14.66,68084,3921651,9.61,57.32,5377000,2795,435.56,KRAMER ST,LAMPORT BLVD,REID AVE,PARKINSON AVE,STATEN ISLAND,2,11,23,64,50,1950-03-20,1968/08/29-FED TRAN,,,
SOUTH BRONX AREA (SITE 402),NY005013420,305,342,550,753,NY005224,FEDERAL,TURNKEY,New Construction,,112,114,592,5.29,,414,4,,19,3,149500,3.43,149500,3.43,41764,1301202,27.94,120.7,8902455,14764,609.29,E 158TH ST,E 161ST ST,CAULDWELL AVE,EAGLE AVE,BRONX,1,15,32,79,17,1988-05-01,,,True,
SOUTH JAMAICA I,NY005010080,8,8,206,206,NY005004,FEDERAL,CONVENTIONAL,New Construction,,448,448,1797,4.01,,887,11,1,33,3-4,392989,9.02,392989,9.02,82310,2940659,20.94,98.34,2117392,1182,451.22,158TH ST,SOUTH RD,160TH ST,109TH AVE,QUEENS,12,5,"10, 14",32,28,1940-08-01,,,,
SOUTH JAMAICA II,NY005010080,66,8,220,206,NY005018,FEDERAL,CONVENTIONAL,New Construction,,599,600,2815.5,4.7,,1491,16,,27,3-7,579217,13.3,579217,13.36,116506,5268542,20.11,112.11,8541145,3030,496.54,SOUTH RD,160TH ST,BRINKERHOFF AVE,158TH ST,QUEENS,12,5,"10, 14",32,28,1954-10-25,,,,
STANTON STREET,NY005013590,559,359,841,840,NY005326,FEDERAL,TURNKEY,New Construction,,13,13,66.5,5.12,,39,1,,1,6,5000,0.11,5000,0.11,3600,,72,354.55,4561538,68595,403,ATTORNEY ST,STANTON ST,RIDGE ST,,MANHATTAN,3,12,26,65,1,2003-12-01,,,True,True
STAPLETON,NY005021140,114,114,436,436,NY005383,MIXED FINANCE/LLC1,CONVENTIONAL,New Construction,94,693,693,3358.5,4.85,316,2125,6,1,12,"1, 8",734857,16.87,611147,14.03,76976,6441281,10.47,125.96,12271000,3654,469.63,BROAD & HILL STS,TOMPKINS AVE,WARREN ST,GORDON ST,STATEN ISLAND,1,11,23,61,49,1962-05-31,,,,
STEBBINS AVENUE-HEWITT PLACE,NY005013420,353,342,770,753,NY005280,FEDERAL,TURNKEY,New Construction,,119,120,535.5,4.5,,280,2,,14,3,123156,2.83,123156,2.83,42267,1098942,34.32,98.94,8851338,16391,549.34,HEWITT PL,WESTCHESTER AVE,REV JAMES A POLITE AVE,DAWSON ST,BRONX,2,15,32,85,17,1987-04-17,,,True,
STERLING PLACE REHABS (SAINT JOHNS-STERLING),NY005013510,366,351,801,765,NY005250,FEDERAL,TURNKEY,Rehabilitation,,83,83,440.5,5.31,,292,5,,5,4,49149,1.13,49149,1.13,28039,1312849,57.05,258.41,9091865,20640,647.07,SAINT JOHNS & PARK PLS,STERLING PL,BUFFALO & UTICA AVES,RALPH AVE,BROOKLYN,8,9,"20, 25",55,"36, 41",1991-05-11,,,True,
STERLING PLACE REHABS (STERLING-BUFFALO),NY005013510,368,351,837,765,NY005305,FEDERAL,TURNKEY,Rehabilitation,,125,125,593.5,4.75,,352,7,,7,4,48928,1.12,48928,1.12,36119,1656285,73.82,314.29,12235716,20616,536.21,SAINT JOHNS & PARK PLS,STERLING PL,BUFFALO & UTICA AVES,RALPH AVE,BROOKLYN,8,9,"20, 25",55,"36, 41",1991-05-11,,,True,
STRAUS,NY005011530,153,153,263,263,NY005063,FEDERAL,CONVENTIONAL,New Construction,,267,267,1162.5,4.35,,549,2,,2,19-20,46018,1.06,46018,1.06,12476,2133126,27.11,517.92,5442401,4674,496.8,THIRD AVE,E 28TH ST,SECOND AVE,E 27TH ST,MANHATTAN,6,12,28,74,2,1965-01-31,,,,
STUYVESANT GARDENS I,NY005012210,221,221,337,337,NY005133,FEDERAL,TURNKEY,New Construction,,329,331,1614.5,4.91,,848,5,,25,4,202058,4.64,202058,4.64,92431,3341149,45.74,182.76,10070462,6212,557.9,QUINCY ST,MALCOLM X BLVD,MONROE ST,LEWIS AVE,BROOKLYN,3,8,25,56,36,1972-08-31,,,,
STUYVESANT GARDENS II,NY005012210,333,221,755,755,NY005269,FEDERAL,TURNKEY,New Construction (ELD),,150,150,525,3.5,,157,1,,1,7,70050,1.61,70050,1.61,16458,1044874,23.49,97.52,9991893,19032,380.77,QUINCY ST,MALCOLM X BLVD,MONROE ST,STUYVESANT AVE,BROOKLYN,3,8,25,56,36,1986-02-28,,EXCLUSIVELY,True,
SUMNER,NY005010730,73,73,538,538,NY005220I,FEDERAL,CONVENTIONAL,New Construction,,1096,1099,5000,4.56,,2390,13,,24,7-12,963265,22.11,905577,20.79,131812,8881677,13.68,108.1,18007000,3608,497.65,PARK AVE,LEWIS AVE,MYRTLE AVE,THROOP AVE,BROOKLYN,3,8,18,56,36,1958-05-14,1978/07/01-ATP 3,,,
SURFSIDE GARDENS,NY005011700,170,170,278,278,NY005087,FEDERAL,CONVENTIONAL,New Construction,,598,600,2567,4.29,,1178,5,,5,14-15,323050,7.42,323050,7.42,36810,5005316,11.39,158.76,13577964,5261,417.62,W 31ST ST,NEPTUNE AVE,W 33RD ST,SURF AVE,BROOKLYN,13,8,23,46,47,1969-06-30,,PARTIALLY,,
SUTTER AVENUE-UNION STREET,NY005011670,369,167,807,203,NY005311,FEDERAL,TURNKEY,Rehabilitation,,100,100,467,4.67,,257,3,,3,4-6,37500,0.86,37500,0.86,21424,1011839,57.13,298.84,9370007,20064,508.86,SUTTER AVE,UNION STREET,EAST NEW YORK AVE,,BROOKLYN,16,9,20,55,41,1995-08-31,,,True,
TAFT,NY005010970,97,97,261,261,NY005064,FEDERAL,CONVENTIONAL,New Construction,,1464,1470,6602,4.51,,3218,9,1,19,19,537645,12.34,537645,12.34,105527,13161342,19.63,260.78,28867029,4367,526.65,E 112TH ST,E 115TH ST,PARK AVE,FIFTH AVE,MANHATTAN,11,13,30,68,"08, 09",1962-12-31,,,,
TAPSCOTT STREET REHAB,NY005011670,354,167,775,763,NY005278,FEDERAL,TURNKEY,Rehabilitation,,155,155,687.5,4.44,,365,8,,8,4,64755,1.49,64755,1.49,37312,1679040,57.62,244.97,10106270,14721,534.99,SUTTER AVE,GRAFTON ST,DUMONT AVE,UNION ST,BROOKLYN,16,9,20,55,41,1986-01-24,,,True,
TAYLOR STREET-WYTHE AVENUE,NY005012340,234,234,358,358,NY005141,FEDERAL,TURNKEY,New Construction,,525,525,2465.5,4.7,,1259,5,1,6,8-11-12-13,183100,4.2,183100,4.2,57205,5051383,31.24,299.76,20178024,8118,438.91,WYTHE AVE,CLYMER ST,ROSS ST,,BROOKLYN,1,7,18,50,33,1974-06-30,,,,
TELLER AVENUE-EAST 166TH STREET,NY005013080,223,308,344,344,NY005163,FEDERAL,TURNKEY,New Construction,,90,90,352,3.91,,175,1,,1,6,27481,0.63,27481,0.63,12354,816812,44.95,277.78,2296895,6363,376.3,TELLER AVE,E 167TH ST,CLAY AVE,E 166TH ST,BRONX,4,15,32,77,16,1971-09-30,,,,
THOMAS APARTMENTS,NY005011270,268,127,387,259,NY005192,FEDERAL,TURNKEY,New Construction (ELD),,87,87,304.5,3.5,,97,1,,1,11,9410,0.22,9410,0.22,6641,652000,70.57,440.91,11188636,36744,351.2,W 90TH ST,AMSTERDAM AVE,W 91ST ST,COLUMBUS AVE,MANHATTAN,7,10,30,69,6,1994-08-31,,EXCLUSIVELY,True,
THROGGS NECK,NY005010630,63,63,218,218,NY005015,FEDERAL,CONVENTIONAL,New Construction,,1182,1185,5423,4.59,,2713,29,2,66,3-7,1430081,32.83,1430081,32.83,228989,11440850,16.01,82.64,15541569,2859,506.79,RANDALL AVE,CALHOUN AVE,SAMPSON AVE,BALCOM AVE,BRONX,10,14,34,82,13,1953-11-27,,,,
THROGGS NECK ADDITION,NY005010630,193,63,303,218,NY005098,FEDERAL,CONVENTIONAL,New Construction,,286,287,1327,4.64,,713,4,,4,8-11,384899,8.84,384899,8.84,39315,2755918,10.21,80.66,7405898,5523,507.94,DEWEY AVE,BALCOLM AVE,RANDALL AVE,THROGGS NECK HOUSES,BRONX,10,14,34,82,13,1971-09-30,,,,
TILDEN,NY005000720,96,96,233,233,NY005034,FEDERAL,CONVENTIONAL,New Construction,,998,998,4750,4.76,,2600,8,1,9,16,465764,10.69,465764,10.69,66416,8888637,14.26,243.22,14827430,3122,479.18,DUMONT AVE,MOTHER GASTON BLVD,LIVONIA AVE,ROCKAWAY AVE,BROOKLYN,16,9,20,55,41,1961-06-30,,,,
TODT HILL,NY005000520,42,52,583,583,NY005268A,FEDERAL,CONVENTIONAL,New Construction,,502,502,2174,4.33,,1007,7,,14,6,581056,13.34,532084,12.21,79116,4454900,13.62,75.49,6509155,2994,511.37,MANOR RD,SCHMIDTS LA,LAGUARDIA AVE,WESTWOOD AVE,STATEN ISLAND,2,11,24,63,49,1950-06-01,1980/07/01-ATP 6,,,
TOMPKINS,NY005011310,131,131,246,246,NY005046,FEDERAL,CONVENTIONAL,New Construction,,1045,1046,5218.5,4.99,,2841,8,1,13,8-16,521950,11.98,521950,11.98,94386,9894217,18.08,237.15,18445969,3532,502.69,PARK AVE,THROOP AVE,MYRTLE AVE,TOMPKINS AVE,BROOKLYN,3,8,18,56,36,1964-07-31,,,,
TWIN PARKS EAST (SITE 9),NY005012270,287,227,577,577,NY005227,FEDERAL,CONVENTIONAL,New Construction (ELD),,219,219,689.5,3.15,,230,1,,1,14,71490,1.64,71490,1.64,11388,1505284,15.93,140.24,11406932,16520,303.02,CLINTON AVE,E 180TH ST,PROSPECT AVE,OAKLAND PL,BRONX,6,15,33,79,15,1982-04-30,,EXCLUSIVELY,True,
TWIN PARKS WEST (SITES 1 & 2),NY005012270,227,227,363,363,NY005178,FEDERAL,CONVENTIONAL,New Construction,,311,312,1504.5,4.84,,876,1,,7,16,189384,4.35,189384,4.35,33186,3411979,17.52,201.38,14286716,9424,520.58,WEBSTER AVE,E 182ND ST,TIEBOUT AVE,E 184TH ST,BRONX,5,15,33,86,15,1974-09-30,,,,
TWO BRIDGES URA (SITE 7),NY005010760,266,76,389,221,NY005194,FEDERAL,TURNKEY,New Construction,,250,250,1251,5,,629,1,,1,26,31735,0.73,31735,0.73,13314,2613000,41.95,861.64,10508730,8414,534.55,CLINTON ST,SOUTH ST,CHERRY ST,MONTGOMERY ST,MANHATTAN,3,7,26,65,1,1975-04-30,,,,
UNION AVENUE-EAST 163RD STREET,NY005013420,342,342,753,753,NY005214,FEDERAL,TURNKEY,New Construction (ELD),,199,200,696.5,3.5,,225,1,,1,9,115299,2.65,115299,2.65,18632,1502857,16.16,84.91,12675000,18107,301.55,E 165TH ST,PROSPECT AVE,E 163RD ST,UNION AVE,BRONX,3,15,32,79,17,1985-03-11,,EXCLUSIVELY,True,
UNION AVENUE-EAST 166TH STREET,NY005013420,356,342,768,753,NY005291,FEDERAL,TURNKEY,New Construction,,120,120,539,4.49,,292,6,,20,3,98707,2.27,98707,2.27,38943,1022257,39.45,128.63,9239549,17142,546.26,E 166TH ST,PROSPECT AVE,HOME ST,UNION AVE,BRONX,3,15,32,79,17,1988-09-01,,,True,
"UNITY PLAZA (SITES 17,24,25A)",NY005012610,240,261,348,375,NY005169,FEDERAL,TURNKEY,New Construction,,166,167,761,4.58,,471,3,,3,6,80525,1.85,80525,1.85,27159,2001480,33.73,254.59,5191821,6699,519.17,SUTTER AVE,BLAKE AVE,SHEFFIELD AVE,ALABAMA AVE,BROOKLYN,5,8,19,60,42,1973-11-30,,,,
UNITY PLAZA (SITES 4-27),NY005012610,261,261,318,375,NY005117,FEDERAL,CONVENTIONAL,New Construction,,460,462,2141,4.65,,1228,5,,13,6,249250,5.72,249250,5.72,89543,5304133,35.92,214.69,16798483,7813,496.68,BLAKE ST,SHEFFIELD AVE,DUMONT AVE,HINSDALE ST,BROOKLYN,5,8,19,60,42,1973-09-30,,,,
